# Blacklisted wallets (low winrate) | 387 wallets | export: 2026-07-23T14:38:37
# address | chain | blacklisted_at | reason
FLLbLS1Q9cCW1JzKsrN5YNppYEUAae6R26yyZonuFWy | sol | 1784805889 | low_winrate
6YUaznmVi7d8H9qjxEZQAFgBewXrs8jmgLm62vuUMQ5Z | sol | 1784805889 | low_winrate
7XURCfraWRfNoNBk9wNqFmoWUdCGrDZXrGoWSc7WE5Nv | sol | 1784805846 | low_winrate
64er3RzBGByGij4RKUe1ug8BdPTA13EGhdy6VVJd8iLT | sol | 1784805846 | low_winrate
CaAJ6VnUBr4oPuYyeampWjEShZe2RsL4eXsXgi27aTyn | sol | 1784805846 | low_winrate
5wHBg65RsM9t2tu4Bqn8xUTwP9X1q1jgf67WDMXsTmT5 | sol | 1784805846 | low_winrate
3jnvkwCGzkhY3VnJDt4nkPXc6BEK8QwhPxSUsPM3tSFp | sol | 1784805722 | low_winrate
FAgLHDkGUmbjNjymFBcZzvHk8TnC2ZvcvHKrNfPxp1eJ | sol | 1784805680 | low_winrate
Aw4XNR9NYig2ZukNvd2LCz86Engm4TMB6YiSooNS4k3 | sol | 1784805680 | low_winrate
E88eucbsd1auCbM49qhHeEg73k6gD4eC8F3Z9Jz57nTQ | sol | 1784805680 | low_winrate
GY3KGev9cf4VWKCVVzSyQwcTZnG49JcvkRWWryy2U9Vr | sol | 1784805680 | low_winrate
JEBy7VuMsCqZDdprhmUNjB1MHTmt5dUFDeMXytbhTLdR | sol | 1784805680 | low_winrate
67ckzjFvrPV136YZ4moZgdMMLRfA4XWmw436vbNHMECy | sol | 1784805680 | low_winrate
HwSUR9jZvvpjphgNGERBNFKTcrHnnAtxcYTZFG63nD3p | sol | 1784805680 | low_winrate
Azypwc8u6eDqsxWvcCvm6JBFwFPTjarpDYtbW5D1MwDU | sol | 1784805680 | low_winrate
FL6VVGz69g5y7y491fm6FrJrcNQzHqvjAxZJGREBTjqt | sol | 1784805680 | low_winrate
FjDjmF2HdArYKJWTBbjtyauZ1Bir6YHAUwBeA3pgMf8q | sol | 1784805596 | low_winrate
EJcWzYjgF7GqNRWkuLXxLTrTda5nAJKWQfZdf5XZwSZz | sol | 1784805596 | low_winrate
8nDbbXEnHLc6q6dzgwSqLEM1ZGKr1nzpdLwaxPbhArHS | sol | 1784805596 | low_winrate
GmtwGyTW4bcSR2fBPxy6jfWfrD8Xe4rh8Te3bUrg9xQq | sol | 1784805575 | low_winrate
FHBVrutE7gPu8uDJRBH6kXWJAKFVQpXsUKUnZazVTUma | sol | 1784805512 | low_winrate
4M5mWUecEGKzAMH5AYrm8gg9zyK7MNbCdxwB1nMfFHVG | sol | 1784805512 | low_winrate
FabH1Pgxxfu3UaRBQezgeYDrF97qNs8GeQZecLkUFHy1 | sol | 1784805512 | low_winrate
8Ao5Q1JZnVa3Cp5BgJQitddPRxMpMb8A71C7jLXDBjah | sol | 1784805512 | low_winrate
6eVjjAmCjRQBQgidgDn2kSNhjjspzze5CgH4b9FfwZ5n | sol | 1784805512 | low_winrate
DbG7RyLFBWXpEWgfKUA8qByvBZEZ3chqGh9TLkpjpF3b | sol | 1784805512 | low_winrate
3gw9qKR2CqEFSxSSuPJbRfVknHq7WSgbRhf9f9MQdjMu | sol | 1784805512 | low_winrate
CGxqRSUbZQS1BJTqrLuMLWUQACpTQMdkKKJfZfvePAph | sol | 1784805512 | low_winrate
9oX1iigcvBqGpNyrxEjkYHPwRfxgEJAZ4f21tcSzL6mF | sol | 1784805492 | low_winrate
2GV9ofVweeVJoPWc6aQ8unfUhdg1SdHj6dUKA6Dqa2tA | sol | 1784805472 | low_winrate
3598rAweXSGfLm6HLfuxFmz1VohsQ2C85m4iLq68xnei | sol | 1784805430 | low_winrate
3WFM7iN78JN76FtHHLAnfesseuFctw5AJLLYaQBPHiDX | sol | 1784805430 | low_winrate
wenyn44fCVadyAXhzPgQh3w9BMaMsNY1bEQt1qfVeqb | sol | 1784805430 | low_winrate
57t8HN66NaZwbCxMoU371PWQkSZk64Y4GdyS8Ja2iHZp | sol | 1784805430 | low_winrate
JCxRCRLCPAZ8grdSxRtmfWsbPHvUXhi86t9CJqjKZFKa | sol | 1784805430 | low_winrate
HNNhnh1Us44Ls9wGzXddJ93QHEx6aCnHctGwUWCeWavD | sol | 1784805430 | low_winrate
2HKjuiKp9Pi24G34TDPayZPJS2kvv7ntGNYBwHkDURhV | sol | 1784805430 | low_winrate
92HhY4xzzgcftJsDLTgMaq4xo57ULQCE1Mat2DJ34q8B | sol | 1784805390 | low_winrate
5MtUMxLMXuEoBqVCUcm85qxKRAbv3adFxkLA84oyLpMT | sol | 1784805346 | low_winrate
75SeDT9h24LsfqabUmqvBUGgzHo2HpgsFuQx6dRyee1W | sol | 1784805346 | low_winrate
3firtMAKkeqK3p4pB7WMT4YE8v6hyFWy5LWyHS9pvwtK | sol | 1784805346 | low_winrate
HdG6WK1qtb1NCUFUXpstsQQzdRhcfSP5dyYhEZrFqyef | sol | 1784805346 | low_winrate
FdVruyvfjeKM2AtgzeSoohrHT6dxoUJ5QEYwwWfPxCEg | sol | 1784805346 | low_winrate
BrgnHdbcSRjFwKWx9UMGS9hmSJ19u3QryhobyHoknkCy | sol | 1784805346 | low_winrate
C9LYW8WvsgKbe7yJqnWeSS8UHeJHaK357YAsC9gqywnM | sol | 1784805346 | low_winrate
8y4aYZiaRisoHHgwH1cTiFnswuWPQoHHH9FKgYDnruoc | sol | 1784805346 | low_winrate
3JD7zrZVXfGozgaSrnn3GzAcGsHCM5ATazX8EqwJqZWY | sol | 1784805346 | low_winrate
DMTynXd4fx3BkYphbHuyzDKMFV32YmcPRwGjpuJ3ThUA | sol | 1784805346 | low_winrate
4fNDW8qeWdWQMdtZ6ro8kkK49ZAHtiAtzcJbFvgxNcVZ | sol | 1784805346 | low_winrate
96gq2PBCgNZyKGztXQp3Eudq4dC11AmHJzdTEctUCEjL | sol | 1784805346 | low_winrate
4kMxERTRvktr8fGs9kRhw5UivXLMTftmB7noDpuMrecY | sol | 1784805346 | low_winrate
5oV82Zc3L7G83JDfjiotiXCeuwQzP66XveMbKDJpwaK4 | sol | 1784805346 | low_winrate
4sq7Sg3zRwyNwk1uK8v7AZ7XTvWNYgXFnXvmCLLVxq58 | sol | 1784805346 | low_winrate
3TNXTxgPnDWCytXm8YZxRmLFJ8yYCzqAYjmHvkxHktYq | sol | 1784805346 | low_winrate
5ZDfLHXvK7yAXNi2uuYpBULngjYZznDTiGC6z74cCMgq | sol | 1784805346 | low_winrate
4uXMjJJbU8yue9YU8azPUxQsJrTiXJavvNaamM6wpZKQ | sol | 1784805346 | low_winrate
HYGtK3ZZAa1Zz72fKXNPFPhjowaZPX2HPeVM1wC1XFhZ | sol | 1784805346 | low_winrate
8pEpM93sC1LKtctEvuuyc8dUUkP2JmmhoReeoahxrzux | sol | 1784805346 | low_winrate
ATMwbTX7Tos4WXngT8JPyerjCshrvjBPJ2bjk38LDCLR | sol | 1784805346 | low_winrate
4Rqqg5AYSgcftuSBSggiWtG9avAhvV9hGTAE7xJxL1na | sol | 1784805346 | low_winrate
J8eny7EN1eMePvaCEwQ3HjSUQJnMtfe2djd1WhXMw6BS | sol | 1784805346 | low_winrate
F6mFT6yrbyDXrHQgYb6JVtGs1sbxeduGCGHtzG9keqfF | sol | 1784805346 | low_winrate
HRjRnucQBe6KuB31a4FES4xRoFztGkEFLkW5pTN4hBq4 | sol | 1784805346 | low_winrate
AMTMSux4Km2gT5w3Gmge9XfMPGG67g7AeQmBZy2tmSpQ | sol | 1784805346 | low_winrate
4XurGmqusMgQckjpfW2bDzsYWnajXznhX3ttVTMTCBiG | sol | 1784805346 | low_winrate
AHrsVsg7VmmbbEZGMw28mNRnkK9T98YdbvVwpCiCDCkp | sol | 1784805346 | low_winrate
3oK8m93QYJFSW57ixVyp4paQhZqrF5oZk2q2uJKust3i | sol | 1784805346 | low_winrate
Esd4kbCtHXCDPztMGJDSi6cZr8DrmA7t7EvXtH31YnLL | sol | 1784805346 | low_winrate
D4yrdUWHTf2wUWr7TZc3gZdMLsZ77y6RfHN4U28etf1j | sol | 1784805325 | low_winrate
ETUKNkEF1hqYHYUSvTWmN7CjXjhWu8XPBW7cHY2Qn5Mg | sol | 1784805325 | low_winrate
3HcBRzsgLUpYxFkMnbzUajaGC7pnZLxvRoqAfoWKar95 | sol | 1784805325 | low_winrate
7WurN1WNnm73XYQzzAR7nNiq37F97WfmkPv8K1UGWzb6 | sol | 1784805302 | low_winrate
5DWmLNzZ2H6QYBuvp1hb6cErBt8Q72fqUZukbeJdFbuh | sol | 1784805302 | low_winrate
CdNWVFQUM1oRwhLkGDygyDie7v7BGSfacitqkpBGJS12 | sol | 1784805302 | low_winrate
E9PdKuR9qbbzXd9Czm5VqCNmaeDd9fprVYUaQxtK5oa2 | sol | 1784805302 | low_winrate
jAxgrecPzKa1167p7UfoPqkUTYaMp8f8ddaBezaqk8z | sol | 1784805260 | low_winrate
EHor5HpuLoYsuaNw4M8KbmCWBA16QWDqu6zTEBhn2fPz | sol | 1784805260 | low_winrate
3ybtqpuosC9Xgw2nwsFxAgFyuJrs4GoyAekkVdEkUkVV | sol | 1784805260 | low_winrate
74DVBE6KtL54jprcM8U78ZjEC6aWKnxMrHkXYrE5Uejx | sol | 1784805260 | low_winrate
59xYVLFAkSsNucST6Paw4pwAdU1qFkFWVZjFgxUcjGxY | sol | 1784805240 | low_winrate
EUVB1GCACBavJemyDWSMnpgiofGbmDF144HFac3uWn9C | sol | 1784805221 | low_winrate
5sbChwfiwGsJFRYAqRHbuohiPPCTzKV6aBoMbx63rL6V | sol | 1784805197 | low_winrate
8M2MQy4n9myiUgxuAssuDtM6Y7so24WvWab6hnAGprAT | sol | 1784805178 | low_winrate
7HGAkAfQdZksdT68Le4GUSnmiZAV9QeP4QFaDTXAhVh6 | sol | 1784805158 | low_winrate
3pzGHton9d2hr2grPavffpoxShGEXAH5nTbno3rGQaHL | sol | 1784805137 | low_winrate
Da96Zjnw7j86d9s2FUNxCB2mBa1xNubJG8ZEpWSCkoTJ | sol | 1784805075 | low_winrate
4crpAYFUmGJqNMqfhVKDsMBhSXr2PSMwCUQRmFfy7naL | sol | 1784805054 | low_winrate
FHsZua8fBYxqCNgQ1fqt55cRm8j9pa5h9PRbBeBEo3dS | sol | 1784805011 | low_winrate
DgeRFQd7qg1xhBUCfyapg5yZYy5kFboe53jzt91frzF8 | sol | 1784805011 | low_winrate
CRKJVdnYaTvE3y9mgDnxPutvw1i6hCvFYg4R7ioCysEo | sol | 1784805011 | low_winrate
6sViQ1oyvmb6cqB3Emh5Zs9LwV3f6cvVdbg16LHJNvWV | sol | 1784805011 | low_winrate
7nnpAvQER17DxHNKPAg7ptZK2xfBLFLk2fJFU8PeDoG7 | sol | 1784805011 | low_winrate
5T229oePmJGE5Cefys8jE9Jq8C7qfGNNWy3RVA7SmwEP | sol | 1784805011 | low_winrate
3kGFtaCuLEWcfFHfFrQ5wCcfjjQuGvgSNDhWc1PVKN6M | sol | 1784805011 | low_winrate
8jgxzPJUpbC2CHXVyBXXxhfdeCLLYukSkmRKgZvP68Yj | sol | 1784804970 | low_winrate
DnkZeL3QSkxGQ9PgSLooeNENJRje89xg2nSTJdo3mUJb | sol | 1784804927 | low_winrate
AK7RhzmR7wXbyPV7gjHb7zDd8d1pLUy9gpC5TzEVykhr | sol | 1784804927 | low_winrate
6oS7bUAXrJ7JUwhoELJFT1ig3WfTN8Df2y3dcZuky5fA | sol | 1784804927 | low_winrate
6YmahBmiUXyLJXvvpnZHSwmgghA8qM7jE8tDSDf5ir28 | sol | 1784804927 | low_winrate
BXQXsJTLK94EYxERN9s8BB8eSAggp5TJ1CBVo1pmUiBT | sol | 1784804927 | low_winrate
7q62PPf2EDs7MXQJtoofZmep3coEaz7MHD5yHZ5zabcJ | sol | 1784804906 | low_winrate
